Date d'échéance,Transaction,Taux moyen pondéré,Date de la valeur,Taux,Maturite_annees,Date_reference,Segment
2025-05-19,,"2,240 %",2025-04-18,2.24,0.08487337440109514,2025-04-18,Court Terme
2025-09-15,,"2,260 %",2025-04-18,2.26,0.4106776180698152,2025-04-18,Court Terme
2026-01-19,,"2,280 %",2025-04-18,2.28,0.75564681724846,2025-04-18,Court Terme
2026-11-16,,"2,340 %",2025-04-18,2.34,1.5797399041752225,2025-04-18,Court Terme
2029-10-15,,"2,540 %",2025-04-18,2.54,4.492813141683778,2025-04-18,Moyen Terme
2030-10-14,,"2,620 %",2025-04-18,2.62,5.489390828199863,2025-04-18,Moyen Terme
2035-06-18,,"2,910 %",2025-04-18,2.91,10.165639972621491,2025-04-18,Long Terme
2039-07-18,,"3,200 %",2025-04-18,3.2,14.247775496235455,2025-04-18,Long Terme
2045-08-14,,"3,530 %",2025-04-18,3.53,20.32306639288159,2025-04-18,Long Terme
2055-04-19,,"3,850 %",2025-04-18,3.85,30.001368925393567,2025-04-18,Long Terme
2025-05-19,,"2,310 %",2025-04-29,2.31,0.05475701574264202,2025-04-25,Court Terme
2025-06-02,,"2,270 %",2025-04-29,2.27,0.09308692676249145,2025-04-25,Court Terme
2025-07-14,,"2,250 %",2025-04-29,2.25,0.2080766598220397,2025-04-25,Court Terme
2025-09-15,,"2,250 %",2025-04-29,2.25,0.3805612594113621,2025-04-25,Court Terme
2025-10-20,,"2,260 %",2025-04-29,2.26,0.47638603696098564,2025-04-25,Court Terme
2026-04-20,,"2,290 %",2025-04-29,2.29,0.974674880219028,2025-04-25,Court Terme
2026-11-16,,"2,280 %",2025-04-25,2.28,1.5605749486652978,2025-04-25,Court Terme
2029-10-15,,"2,520 %",2025-04-25,2.52,4.473648186173854,2025-04-25,Moyen Terme
2030-10-14,,"2,610 %",2025-04-29,2.61,5.45927446954141,2025-04-25,Moyen Terme
2035-06-18,,"2,900 %",2025-04-29,2.9,10.13552361396304,2025-04-25,Long Terme
2040-07-16,,"3,230 %",2025-04-29,3.23,15.214236824093087,2025-04-25,Long Terme
2045-08-14,,"3,510 %",2025-04-29,3.51,20.292950034223136,2025-04-25,Long Terme
2055-04-19,,"3,850 %",2025-04-29,3.85,29.971252566735114,2025-04-25,Long Terme
2025-07-21,,"2,220 %",2025-05-02,2.22,0.2190280629705681,2025-05-02,Court Terme
2025-09-15,,"2,220 %",2025-05-02,2.22,0.3723477070499658,2025-05-02,Court Terme
2026-01-19,,"2,240 %",2025-05-02,2.24,0.7173169062286106,2025-05-02,Court Terme
2026-11-16,,"2,250 %",2025-05-02,2.25,1.541409993155373,2025-05-02,Court Terme
2029-10-15,,"2,510 %",2025-05-02,2.51,4.454483230663929,2025-05-02,Moyen Terme
2030-10-14,,"2,600 %",2025-05-02,2.6,5.451060917180014,2025-05-02,Moyen Terme
2035-06-18,,"2,860 %",2025-05-02,2.86,10.127310061601642,2025-05-02,Long Terme
2039-07-18,,"3,160 %",2025-05-02,3.16,14.209445585215606,2025-05-02,Long Terme
2045-08-14,,"3,460 %",2025-05-02,3.46,20.28473648186174,2025-05-02,Long Terme
2055-04-19,,"3,850 %",2025-05-02,3.85,29.963039014373717,2025-05-02,Long Terme
2025-07-21,,"2,180 %",2025-05-09,2.18,0.1998631074606434,2025-05-09,Court Terme
2025-09-15,,"2,210 %",2025-05-09,2.21,0.3531827515400411,2025-05-09,Court Terme
2026-01-19,,"2,230 %",2025-05-09,2.23,0.6981519507186859,2025-05-09,Court Terme
2026-11-16,,"2,250 %",2025-05-09,2.25,1.5222450376454484,2025-05-09,Court Terme
2029-10-15,,"2,450 %",2025-05-09,2.45,4.435318275154004,2025-05-09,Moyen Terme
2030-10-14,,"2,530 %",2025-05-09,2.53,5.431895961670089,2025-05-09,Moyen Terme
2035-06-18,,"2,820 %",2025-05-09,2.82,10.108145106091717,2025-05-09,Long Terme
2039-07-18,,"3,150 %",2025-05-09,3.15,14.190280629705681,2025-05-09,Long Terme
2045-08-14,,"3,460 %",2025-05-09,3.46,20.265571526351813,2025-05-09,Long Terme
2055-04-19,,"3,850 %",2025-05-09,3.85,29.94387405886379,2025-05-09,Long Terme
2025-07-21,,"2,170 %",2025-05-16,2.17,0.1806981519507187,2025-05-16,Court Terme
2025-09-15,,"2,190 %",2025-05-16,2.19,0.33401779603011633,2025-05-16,Court Terme
2026-01-19,,"2,200 %",2025-05-16,2.2,0.6789869952087612,2025-05-16,Court Terme
2026-11-16,,"2,230 %",2025-05-16,2.23,1.5030800821355237,2025-05-16,Court Terme
2029-10-15,,"2,370 %",2025-05-16,2.37,4.41615331964408,2025-05-16,Moyen Terme
2030-10-14,,"2,440 %",2025-05-16,2.44,5.412731006160164,2025-05-16,Moyen Terme
2035-06-18,,"2,760 %",2025-05-16,2.76,10.088980150581794,2025-05-16,Long Terme
2039-07-18,,"3,080 %",2025-05-16,3.08,14.171115674195756,2025-05-16,Long Terme
2045-08-14,,"3,450 %",2025-05-16,3.45,20.246406570841888,2025-05-16,Long Terme
2055-04-19,,"3,840 %",2025-05-16,3.84,29.924709103353866,2025-05-16,Long Terme
2025-07-21,,"2,110 %",2025-05-23,2.11,0.16153319644079397,2025-05-23,Court Terme
2025-09-15,,"2,080 %",2025-05-23,2.08,0.31485284052019163,2025-05-23,Court Terme
2026-01-19,,"2,130 %",2025-05-23,2.13,0.6598220396988365,2025-05-23,Court Terme
2026-11-16,,"2,180 %",2025-05-23,2.18,1.483915126625599,2025-05-23,Court Terme
2028-04-17,,"2,270 %",2025-05-23,2.27,2.9021218343600275,2025-05-23,Moyen Terme
2030-10-14,,"2,410 %",2025-05-23,2.41,5.393566050650239,2025-05-23,Moyen Terme
2035-06-18,,"2,730 %",2025-05-23,2.73,10.069815195071868,2025-05-23,Long Terme
2039-07-18,,"3,000 %",2025-05-23,3.0,14.151950718685832,2025-05-23,Long Terme
2045-08-14,,"3,430 %",2025-05-23,3.43,20.227241615331966,2025-05-23,Long Terme
2055-04-19,,"3,790 %",2025-05-23,3.79,29.905544147843944,2025-05-23,Long Terme
2025-07-14,,"2,090 %",2025-06-03,2.09,0.11225188227241616,2025-05-30,Court Terme
2025-08-18,,"2,070 %",2025-06-03,2.07,0.2080766598220397,2025-05-30,Court Terme
2025-10-20,,"2,100 %",2025-06-03,2.1,0.3805612594113621,2025-05-30,Court Terme
2026-04-20,,"2,130 %",2025-06-03,2.13,0.8788501026694046,2025-05-30,Court Terme
2026-06-15,,"2,170 %",2025-06-03,2.17,1.0321697467488022,2025-05-30,Court Terme
2029-10-15,,"2,320 %",2025-05-30,2.32,4.37782340862423,2025-05-30,Moyen Terme
2030-10-14,,"2,400 %",2025-06-03,2.4,5.363449691991787,2025-05-30,Moyen Terme
2035-05-14,,"2,660 %",2025-06-03,2.66,9.943874058863791,2025-05-30,Long Terme
2039-07-18,,"2,950 %",2025-05-30,2.95,14.132785763175907,2025-05-30,Long Terme
2045-08-21,,"3,340 %",2025-06-03,3.34,20.216290212183434,2025-05-30,Long Terme
2055-04-19,,"3,720 %",2025-06-03,3.72,29.87542778918549,2025-05-30,Long Terme
2025-07-21,,"2,040 %",2025-06-06,2.04,0.12320328542094455,2025-06-06,Court Terme
2025-09-15,,"2,080 %",2025-06-06,2.08,0.27652292950034224,2025-06-06,Court Terme
2026-01-19,,"2,100 %",2025-06-06,2.1,0.621492128678987,2025-06-06,Court Terme
2026-11-16,,"2,120 %",2025-06-06,2.12,1.4455852156057496,2025-06-06,Court Terme
2029-10-15,,"2,360 %",2025-06-06,2.36,4.358658453114305,2025-06-06,Moyen Terme
2030-10-14,,"2,430 %",2025-06-06,2.43,5.3552361396303905,2025-06-06,Moyen Terme
2035-06-18,,"2,710 %",2025-06-06,2.71,10.03148528405202,2025-06-06,Long Terme
2039-07-18,,"2,950 %",2025-06-06,2.95,14.113620807665983,2025-06-06,Long Terme
2045-08-14,,"3,330 %",2025-06-06,3.33,20.188911704312115,2025-06-06,Long Terme
2055-04-19,,"3,730 %",2025-06-06,3.73,29.867214236824093,2025-06-06,Long Terme
2025-07-21,,"2,040 %",2025-06-13,2.04,0.10403832991101986,2025-06-13,Court Terme
2025-09-15,,"2,080 %",2025-06-13,2.08,0.25735797399041754,2025-06-13,Court Terme
2026-01-19,,"2,100 %",2025-06-13,2.1,0.6023271731690623,2025-06-13,Court Terme
2026-11-16,,"2,120 %",2025-06-13,2.12,1.4264202600958247,2025-06-13,Court Terme
2029-10-15,,"2,360 %",2025-06-13,2.36,4.339493497604381,2025-06-13,Moyen Terme
2030-10-14,,"2,430 %",2025-06-13,2.43,5.336071184120465,2025-06-13,Moyen Terme
2035-06-18,,"2,710 %",2025-06-13,2.71,10.012320328542094,2025-06-13,Long Terme
2039-07-18,,"2,950 %",2025-06-13,2.95,14.094455852156058,2025-06-13,Long Terme
2045-08-14,,"3,330 %",2025-06-13,3.33,20.16974674880219,2025-06-13,Long Terme
2055-04-19,,"3,730 %",2025-06-13,3.73,29.848049281314168,2025-06-13,Long Terme
2025-09-15,,"2,180 %",2025-06-20,2.18,0.23819301848049282,2025-06-20,Court Terme
2025-11-17,,"2,240 %",2025-06-20,2.24,0.4106776180698152,2025-06-20,Court Terme
2026-03-16,,"2,270 %",2025-06-20,2.27,0.7364818617385352,2025-06-20,Court Terme
2027-03-15,,"2,330 %",2025-06-20,2.33,1.73305954825462,2025-06-20,Court Terme
2030-04-15,,"2,540 %",2025-06-20,2.54,4.818617385352498,2025-06-20,Moyen Terme
2030-10-14,,"2,560 %",2025-06-20,2.56,5.316906228610541,2025-06-20,Moyen Terme
2035-02-19,,"2,860 %",2025-06-20,2.86,9.66735112936345,2025-06-20,Long Terme
2039-07-18,,"3,080 %",2025-06-20,3.08,14.075290896646132,2025-06-20,Long Terme
2045-08-14,,"3,370 %",2025-06-20,3.37,20.150581793292265,2025-06-20,Long Terme
2055-04-19,,"3,770 %",2025-06-20,3.77,29.828884325804243,2025-06-20,Long Terme
2025-09-15,,"2,180 %",2025-06-26,2.18,0.22176591375770022,2025-06-26,Court Terme
2025-11-17,,"2,230 %",2025-06-26,2.23,0.3942505133470226,2025-06-26,Court Terme
2026-03-16,,"2,270 %",2025-06-26,2.27,0.7200547570157426,2025-06-26,Court Terme
2027-03-15,,"2,290 %",2025-06-26,2.29,1.7166324435318274,2025-06-26,Court Terme
2030-04-15,,"2,450 %",2025-06-26,2.45,4.802190280629706,2025-06-26,Moyen Terme
2030-10-14,,"2,510 %",2025-06-26,2.51,5.300479123887748,2025-06-26,Moyen Terme
