CODE ISIN,OPCVM,Société de Gestion,Classification,AN,Sensibilité,Indice Bentchmark,Benchmark_Normalise,Perf_1_mois,Perf_3_mois,Perf_6_mois,Perf_1_an,Perf_3_ans,Perf_YTD,Perf_1_mois_Benchmark,Ecart_1_mois,Perf_3_mois_Benchmark,Ecart_3_mois,Perf_6_mois_Benchmark,Ecart_6_mois,Perf_1_an_Benchmark,Ecart_1_an,Perf_3_ans_Benchmark,Ecart_3_ans
MA0000030058,BMCI COSMOS,CIH CAPITAL MANAGEMENT,ACTIONS,19423094.26,,MASI,MASI,-0.018902580795163937,-0.03727955100271496,-0.03909914833538275,-0.11128661991112232,0.46874347372084935,-0.06849889624724059,-0.015317466005329017,-0.00358511478983492,-0.045617542077769135,0.008337991075054174,-0.0441016662313608,0.005002517895978054,-0.09122383660461464,-0.02006278330650768,0.4708940860761408,-0.002150612355291459
MA0000030066,BMCI EPARGNE OBLIGATIONS,CIH CAPITAL MANAGEMENT,OMLT,237423598.43,5.0,MBI MLT,MBI MLT,-0.00010969723562981315,-0.003207815404804415,-0.0017158294392524143,-0.012602007655087788,0.15721540414727042,-0.011316798033118802,,,,,,,,,,
MA0000030132,BMCI TRESORERIE,CIH CAPITAL MANAGEMENT,MONÉTAIRE,386394223.62,0.25,TMJ(jj),TMP,0.0011979873811995834,0.0038382983169786833,0.007815510168333262,0.015023393283894793,0.05746052404519153,0.008811565956221123,0.0018494492591557168,-0.0006514618779561335,0.0056097476961394785,-0.0017714493791607952,0.011222105363592994,-0.003406595195259732,0.022510364583333334,-0.007486971299438542,0.0757503,-0.018289775954808477
MA0000030215,CDG IZDIHAR,CDG CAPITAL GESTION,DIVERSIFIÉ,103373873.75,,77% MBI GLOBAL + 23% CFG 25 FLOTTANT,77% MBI GLOBAL + 23% CFG 25 FLOTTANT,-0.01663440201350963,-0.03613370980091879,-0.05914406702464836,-0.10624291384792195,0.23345040556802488,-0.08763954855236422,,,,,,,,,,
MA0000030280,CDG TAWFIR,CDG CAPITAL GESTION,OMLT,1410024793.07,5.0,MBI GLOBAL,MBI GLOBAL,-0.0019942138895552297,-0.0022912188243995324,0.001612739481660963,-0.008931672134158686,0.16504045291065284,-0.010811120500737625,,,,,,,,,,
MA0000030306,CDG TRESORERIE,CDG CAPITAL GESTION,MONÉTAIRE,2138846221.42,0.25,50% MBI CT + 50% TMP,50% MBI CT + 50% TMP,0.0020359598096246767,0.006876884722511356,0.014341986108570959,0.026217093237894673,0.09391372118867891,0.0156241625127298,,,,,,,,,,
MA0000030363,BMCI EPARGNE CROISSANCE,CIH CAPITAL MANAGEMENT,DIVERSIFIÉ,113009539.98,,60% MASI + 40% MBI MT,60% MASI + 40% MBI MT,-0.005215043867722091,-0.018047480620155154,-0.026595425346701118,-0.05562350748441969,0.2396024464831803,-0.0452243551996232,,,,,,,,,,
MA0000030405,SICAV MAROC CROISSANCE,MAROGEST,DIVERSIFIÉ,7189084.66,,-,-,-0.01533097800464478,-0.0334698152732813,-0.06126363412725866,-0.1088000561911201,0.30391051118481727,-0.08179492560643775,,,,,,,,,,
MA0000030413,BMCI CASH,CIH CAPITAL MANAGEMENT,OCT,48886678.89,0.8500000000000001,MBI CT,MBI CT,0.0015362556329374666,0.007054219659131888,0.016898039827379918,0.028340080971660075,0.09025029265845386,0.016211160760677634,,,,,,,,,,
MA0000030470,CFG CROISSANCE,CFG GESTION,DIVERSIFIÉ,515593574.26,,50% CFG 25 FLOTTANT + 50% CFG BONDS CT,50% CFG 25 FLOTTANT + 50% CFG BONDS CT,-0.01711922025835544,-0.025377323188224943,-0.037203614082971015,-0.09973326881088584,0.2793578282084028,-0.06554088195106778,,,,,,,,,,
MA0000030488,IRAD,BMCE CAPITAL GESTION,MONÉTAIRE,2222313041.0,0.25,Taux Repo au jour le jour,TAUX REPO AU JOUR LE JOUR,0.0034000891355290275,0.00811769209102775,0.015266786919585495,0.027013107408647263,0.09631764756702421,0.016505183129976952,,,,,,,,,,
MA0000030496,SICAVENIR,BMCE CAPITAL GESTION,OMLT,215560173.86,5.0,MBI Global,MBI GLOBAL,-0.0007806544079529409,-0.002848361279328082,0.002958815331152609,-0.0005429279064944614,0.17315807563418328,-0.005263988731299851,,,,,,,,,,
MA0000030504,MAROC VALEURS,BMCE CAPITAL GESTION,ACTIONS,411150623.55,,MASI,MASI,-0.023292558613659642,-0.0454381734301319,-0.04441415534981141,-0.12715901592436663,0.4049595632606562,-0.07641573322524198,-0.015317466005329017,-0.007975092608330625,-0.045617542077769135,0.0001793686476372347,-0.0441016662313608,-0.00031248911845060956,-0.09122383660461464,-0.035935179319751986,0.4708940860761408,-0.06593452281548462
MA0000030512,HORIZON EXPANSION,UPLINE CAPITAL MANAGEMENT,DIVERSIFIÉ,3831265.75,,40% TMP + 60% MASI,40% TMP + 60% MASI,-0.014259965922318374,-0.015522704447149094,-0.024281013728045808,-0.06136113264331089,0.2638589601370278,-0.039401434344287334,,,,,,,,,,
MA0000030520,ATTIJARI DIVERSIFIE,WAFA GESTION,DIVERSIFIÉ,1488303503.39,,30% MASI + 70% MBI MT,30% MASI + 70% MBI MT,-0.013770062233868341,-0.010945116743532157,0.03167358798295039,0.011828910933677328,0.3426680698499902,0.027336872705435944,,,,,,,,,,
