CODE ISIN,OPCVM,Société de Gestion,Classification,AN,Perf_YTD_calculee_%,Pct_mois_positifs,Volatilite_annualisee_%,Max_Drawdown_%,Score_Performance,Score_Volatilite,Score_Regularite,Score_Drawdown,Score_Taille,Score_Global,Rang_Categorie,Rang_Global
MA0000039059,WG VALEURS,WAFA GESTION,ACTIONS,141999596.2,4.847021044469901,56.14035087719298,13.047741757333704,24.317792285323627,100.0,82.55813953488372,33.72093023255814,73.5632183908046,65.51724137931035,74.96992782678427,6.0,44.0
MA0000039885,QUANTUM OPTIMUM CROISSANCE,QUANTUM CAPITAL GESTION,ACTIONS,993865.61,4.737464259373403,42.857142857142854,19.25634379022308,11.68927084732106,98.79518072289156,2.3255813953488373,4.651162790697675,95.40229885057471,10.344827586206897,46.49500971005111,45.0,249.0
MA0000039067,WG TAYSSIR,WAFA GESTION,ACTIONS,75042066.76,3.7921073778858894,49.122807017543856,13.255994739173907,24.149715528942885,97.59036144578313,79.06976744186046,8.13953488372093,75.86206896551724,59.77011494252874,68.0287791100247,13.0,80.0
MA0000040198,PATRIMOINE AL MOUSSAHAMA,WAFA GESTION,ACTIONS,49158628.13,3.08291991495393,55.12820512820513,13.8774941391235,26.41061763179358,96.3855421686747,62.7906976744186,28.488372093023255,55.172413793103445,54.02298850574713,63.989172407351944,17.0,116.0
MA0000040156,ATTIJARI AL MOUCHARAKA,WAFA GESTION,ACTIONS,435345380.73,2.7042612601675176,55.12820512820513,13.976539615553152,26.568587544339128,95.18072289156626,59.30232558139535,28.488372093023255,52.87356321839081,82.75862068965517,65.2843692331475,14.0,102.0
MA0000041972,WINEO AL AMINE,WINEO GESTION,ACTIONS,58417358.94,2.229166666666682,53.44827586206896,12.345070210846323,25.631937319279906,93.97590361445783,91.86046511627907,16.27906976744186,63.2183908045977,57.47126436781609,69.64358637436675,12.0,67.0
MA0000042137,ATTIJARI VALEURS ESG,WAFA GESTION,ACTIONS,1143098.99,1.6925892040256185,58.69565217391305,13.528923207607935,16.60091202541373,92.7710843373494,73.25581395348837,79.06976744186046,90.80459770114942,16.091954022988507,77.18911733542026,4.0,35.0
MA0000040255,PROFIL DYNAMIQUE,WAFA GESTION,ACTIONS,336087019.13,1.5645067133683632,58.97435897435898,12.47652032471847,25.364926137194686,91.56626506024097,90.69767441860465,83.13953488372093,65.51724137931035,75.86206896551724,84.18599820291593,1.0,9.0
MA0000041980,WINEO ACTIONS,WINEO GESTION,ACTIONS,642390453.76,1.5542019404602536,57.692307692307686,12.618235432539143,24.96638414747164,90.36144578313254,88.37209302325581,68.02325581395348,68.96551724137932,88.50574712643679,82.00151045239498,2.0,17.0
MA0000040966,RMA PERFORMANCE,RMA ASSET MANAGEMENT,ACTIONS,1010577768.26,0.8328213529933848,56.41025641025641,14.744454033064658,29.73859994594386,89.1566265060241,37.2093023255814,46.51162790697674,17.24137931034483,93.10344827586206,57.24819083873586,27.0,163.0
MA0000030611,CDM EXPANSION,WAFA GESTION,ACTIONS,93896168.04,0.5134049939353291,56.41025641025641,14.746779919225029,29.980421947812257,87.95180722891565,36.04651162790697,46.51162790697674,9.195402298850574,62.06896551724138,52.28570255359851,37.0,208.0
MA0000040347,PATRIMOINE ACTIONS,WAFA GESTION,ACTIONS,1769383663.24,0.4240590708645353,62.82051282051282,13.945443552348847,28.717690500167848,86.74698795180723,60.46511627906976,97.67441860465115,28.735632183908045,97.70114942528735,74.75571894635478,7.0,45.0
MA0000040735,RMA EXPANSION,RMA ASSET MANAGEMENT,ACTIONS,1284068258.3,0.29203255967884534,55.12820512820513,11.504965309194592,18.184858266982847,85.54216867469879,94.18604651162791,28.488372093023255,88.50574712643679,95.40229885057471,77.72292860294425,3.0,34.0
MA0000037434,ATLAS SELECTION,ATLAS CAPITAL MANAGEMENT,ACTIONS,1665608.6,0.19685756990266423,56.41025641025641,13.828446218013221,26.318780676827693,84.33734939759037,65.11627906976744,46.51162790697674,57.47126436781609,22.988505747126435,61.80214039799938,20.0,131.0
MA0000039844,STERLING EQUITY,STERLING ASSET MANAGEMENT,ACTIONS,379138941.66,0.07211823084292135,44.44444444444444,17.385089766287955,13.61007453303695,83.13253012048193,4.651162790697675,5.813953488372093,93.10344827586206,77.01149425287356,48.93200709816008,41.0,233.0
